經濟學（二）
Grading
13,Eigenvalues and eigenvectors of a matrix
14,Diagonalization of a matrix
15,A discussion on symmetric matrices
16,Positive definite matrix
17,Similar matrices and Jordan form
18,Final exam

行銷管理
Grading
方法,百分比%
方法,百分比%
其他 others:Exam,42,其他 others:Individual project,18,小組報告 Group Projects,25,其他 others:Homework assignment,15
其他 others:Exam,42
其他 others:Individual project,18
小組報告 Group Projects,25
其他 others:Homework assignment,15

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,70
報告 Presentation,20
實作 Workshop,10

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Introduction
2,Ch1 - An overview of Marketing Management
3,Ch1 - An overview of Marketing Management
4,Ch2 - Company and Marketing Strategy
5,Ch2 - Company and Marketing Strategy
6,Ch3/4 - Analyzing the marketing environment and gain customer insights
7,Time reserved for team brainstorming
8,Ch5 - Understanding consumer and business buyer behavior
9,Presentation I
10,Ch6 -Creating value for target customers
11,Ch8 - Developing new products and managing the product life cycle (optional)
12,Ch10 - Marketing channels
13,Ch12 - Engaging customers and communicating customer value
14,"Ch14 - Direct, online, social media, and mobile marketing"
15,"Ch14 - Direct, online, social media, and mobile marketing"
16,Presentation II - Term project
17,Ch16 - Sustainable marketing (optional)
18,Final exam

生產作業分析與改善
Grading
方法,百分比%
方法,百分比%
期中考 Midterm Exam,20,期末考 Term exam,20,小組報告 Group Projects,30,作業 Assignments,10,出席 Participation,20
期中考 Midterm Exam,20
期末考 Term exam,20
小組報告 Group Projects,30
作業 Assignments,10
出席 Participation,20

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,60
討論 Discussion,20
報告 Presentation,20

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Introduction
2,Forecasting Techniques
3,Forecasting Techniques
4,Inventory theory and applications
5,Inventory theory and applications
6,Scheduling
7,Scheduling
8,Scheduling
9,Midterm Exam
10,Continuous Improvement Tools
11,Material Flow and Facilities Layout Improvement
12,Equipment Efficiency: Quality
13,Equipment Efficiency: Performance
14,Equipment Efficiency: Availability
15,Other Improvement Tools
16,Final Exam
17,Oral report
18,Oral report

模擬導論
Grading
方法,百分比%
方法,百分比%
作業 Assignments,15,期中考 Midterm Exam,35,期末考 Term exam,40,其他 others:Labs,10
作業 Assignments,15
期中考 Midterm Exam,35
期末考 Term exam,40
其他 others:Labs,10

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,70
實作 Workshop,30

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Introduction to system simulation
2,Simulation examples
3,Statistical models in simulation
4,Simulation with Arena
5,Simulation with Arena
6,Statistical models in simulation
7,Statistical models in simulation
8,Input modeling
9,Midterm exam
10,More Arena modeling
11,Advanced Input modeling
12,Advanced Input modeling
13,OA for terminating simulation
14,OA for terminating simulation
15,OA for steady-state simulation
16,Call center modeling
17,Comparison via simulation
18,Cumulative final exam

資訊自動化開發與應用
Grading
方法,百分比%
方法,百分比%
期中考 Midterm Exam,50,小組報告 Group Projects,30,作業 Assignments,20
期中考 Midterm Exam,50
小組報告 Group Projects,30
作業 Assignments,20

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,50
實作 Workshop,20
報告 Presentation,30

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,辦公室軟體簡介與課程說明
2,內建函數講解
3,內建函數講解
4,資料處理
5,資料處理
6,VBA簡介
7,巨集錄製與調整
8,判斷式
9,期中考
10,流程控制
11,流程控制
12,表單與ActiveX控制項
13,表單與ActiveX控制項
14,表單介面
15,表單介面
16,實務應用案例
17,報告
18,報告

網頁程式開發
Grading
方法,百分比%
方法,百分比%
出席 Participation,10,作業 Assignments,10,期中考 Midterm Exam,25,個人書面報告 Projects,25,期末考 Term exam,30
出席 Participation,10
作業 Assignments,10
期中考 Midterm Exam,25
個人書面報告 Projects,25
期末考 Term exam,30

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,60
實作 Workshop,40

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Course Introduction and HTML Basic
2,HTML Basic II
3,HTML Basic III
4,CSS I
5,CSS II
6,CSS III
7,Javascript I
8,Javascript II
9,Midterm Exam
10,Javascript III
11,jQuery
12,Bootstrap
13,Ajax I
14,Ajax II
15,Developing Example
16,Final Project Presentation
17,Final Project Presentation
18,Final Exam

機率論
Grading
方法,百分比%
方法,百分比%
作業 Assignments,30,期中考 Midterm Exam,35,期末考 Term exam,35
作業 Assignments,30
期中考 Midterm Exam,35
期末考 Term exam,35

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,80
討論 Discussion,20

工業與資訊管理專題（一）
Grading
方法,百分比%
方法,百分比%
小組報告 Group Projects,100
小組報告 Group Projects,100

Teaching Strategies
方法,百分比%
方法,百分比%
討論 Discussion,100

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,各組專題老師自行排定報告時間
2,各組專題老師自行排定報告時間
3,各組專題老師自行排定報告時間
4,各組專題老師自行排定報告時間
5,各組專題老師自行排定報告時間
6,各組專題老師自行排定報告時間
7,各組專題老師自行排定報告時間
8,各組專題老師自行排定報告時間
9,各組專題老師自行排定報告時間
10,各組專題老師自行排定報告時間
11,各組專題老師自行排定報告時間
12,各組專題老師自行排定報告時間
13,各組專題老師自行排定報告時間
14,各組專題老師自行排定報告時間
15,各組專題老師自行排定報告時間
16,各組專題老師自行排定報告時間
17,各組專題老師自行排定報告時間
18,各組專題老師自行排定報告時間

統計製程管制
Grading
方法,百分比%
方法,百分比%
期末考 Term exam,50,作業 Assignments,25,小組報告 Group Projects,25
期末考 Term exam,50
作業 Assignments,25
小組報告 Group Projects,25

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,70
實作 Workshop,20
報告 Presentation,10

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Introduction to Statistical Quality Control
2,Quality Management System
3,The Magnificent Seven
4,The Seven Management and Planning Tools
5,How SPC works
6,Variables control charts
7,Variables control charts
8,Attributes control charts
9,Attributes control charts
10,Midterm
11,Time-weighted control charts
12,Time-weighted control charts
13,Advanced topics
14,Acceptance Sampling
15,Acceptance Sampling
16,PID controller
17,Project Presentation
18,Final Exam

雲端行動應用
Grading
方法,百分比%
方法,百分比%
出席 Participation,5,其他 others:Lab,35,作業 Assignments,30,個人書面報告 Projects,30
出席 Participation,5
其他 others:Lab,35
作業 Assignments,30
個人書面報告 Projects,30

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,50
實作 Workshop,50

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Class Introduction
2,Introduction to Kotlin
3,Android Studio and MVC
4,Layout and Basic Applications
5,ListView and Adapter
6,Activities and Intents
7,RecyclerView and
8,Screen Navigation
9,Midterm Week
10,Fragments
11,LiveData
12,ViewModel
13,Room Database
14,Lab (Final Project)
15,Lab (Final Project)
16,Lab (Final Project)
17,Final Project Presentation
18,Final Project Presentation

實驗設計導論
Grading
方法,百分比%
方法,百分比%
出席 Participation,5,作業 Assignments,25,期中考 Midterm Exam,30,期末考 Term exam,40
出席 Participation,5
作業 Assignments,25
期中考 Midterm Exam,30
期末考 Term exam,40

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,100

