Course Name,Grading,Department,Teaching Strategies,Syllabus Progress,Course Description
區塊鏈與去中心化金融,"作業 Assignments	100
作業 Assignments	100",會計系Accountancy,使用網路教學 Using Online Teaching	100,"1	Blockchain Foundations
2	The Technical Side
3	Blockchain in Use
4	Further Topics
5	The History of Decentralized Finance
6	DeFi Foundations
7	Problems DeFi Solves, DeFi Myths and Facts
8	Mechanics
9	Supply and Ownership, Loans and Swaps
10	Joining the World of DeFi
11	Credit and Lending
12	Decentralized Exchange
13	Derivatives
14	Tokenization
15	Smart Contract Risk
16	Governance, DNS, Oracle, DEX and Custodial Risk
17	Scaling Risk
18	Regulatory and Environmental Risk, Winners and Losers","       本堂課包含兩個專業課程，共計5堂Coursera課程，第一個專業課程是ConsenSys Academy的區塊鏈介紹課程(共計10小時)，第二個專業課程是杜克大學的去中心金融課程(共計24小時)，包含去中心化金融基礎與歷史(6小時)、去中心化金融技術與概念(6小時)、進階去中心化金融技術與概念(6小時)、去中心化金融的機會與風險(6小時)，總授課時數為34小時。
在第一個專業課程中，將由ConsenSys Academy介紹區塊鏈相關技術與案例，也會介紹smart contract, 加密貨幣與市場，及對傳統業務的衝擊。第二個專業課程是介紹在區塊鏈基礎的去中心化金融技術，將會介紹DeFi歷史、基礎技術與內容，並進行相關議題討論，如所有權、貸款、相關技術協議、風險與機會等。This course has two specializations, the first specialization is “Blockchain: Foundations and Use Cases” from ConsenSys Academy (10 teaching hours), the other specialization is “Decentralized Finance (DeFi): The Future of Finance” from Duke University (24 teaching hours), including “Decentralized Finance (DeFi) Infrastructure” (6 teaching hours), “Decentralized Finance (DeFi) Primitives” (6 teaching hours), “Decentralized Finance (DeFi) Deep Dive” (6 teaching hours), “Decentralized Finance (DeFi) Opportunities and Risks” (6 teaching hours). This course totals 34 teaching hours.
The first specialization, you'll be introduced to blockchain and the technology behind it, and we'll go beyond bitcoin and delve deeper into a next-generation blockchain called Ethereum to introduce you to what modern blockchains can do.
The second specialization is Decentralized Finance (DeFi) issue, including DeFi Infrastructure, DeFi Primitives, DeFi Deep Dive, and DeFi Risks and Opportunities."
計算思維與商業分析,"作業 Assignments	100
作業 Assignments	100",會計系Accountancy,使用網路教學 Using Online Teaching	100,"1	Foundations of Computational Thinking, Case Study: Airport Surveillance and Image Analysis
2	Case study: epidemiology, human trafficking
3	Problem solving project
4	Course Overview and Module 1 How Do I Get Started Using a Data Analytic Language to Solve Business Problem?
5	How Do I Get to Know My Data and Share It with Others?
6	How Can I Use Functions to Help with Data Preparation?
7	How Can I Use Functions to Help with Data Preparation?
8	How do I preprocess data?
9	Analytics mindset
10	ETL and EDA Using PowerBI
11	ETL and EDA Using PowerBI, Rstudio
12	ETL and EDA Using Rstudio
13	ETL and EDA Using Alteryx
14	ETL and EDA Using Alteryx
15	Survey of analytics topics in accounting
16	Controls and auditing
17	Text processing and analysis in accounting
18	Robot process automation in accounting","       本堂課包含四堂Coursera課程，第一堂為使用計算思維於問題解決 (11小時)，第二堂課是使用R的商業分析介紹 (16小時)，第三堂課是探索性商業資料分析工具 (18小時)，最後一堂課則是應用資料分析在會計上 (14小時)。總授課時數為59小時。
在第一堂課說明如何應用計算思維解決複雜問題，並以案例進行說明。第二堂課至第四堂課，包含使用R語言進行資料分析的介紹、處理業務邏輯及洞見的多種工具、探索商業分析在會計上。This course has four Coursera courses, the first course is ""Problem Solving Using Computational Thinking"" (11 teaching hours), the second course is ""Introduction to Business Analytics with R"" (16 teaching hours), the third course is ""Tools for Exploratory Data Analysis in Business"" (18 teaching hours), and the last course is ""Applying Data Analytics in Accounting"" (14 teaching hours). This course totals 59 teaching hours.
In the first course, includes an introduction to computational thinking and a broad definition of each concept, a series of real-world cases that illustrate how computational thinking can be used to solve complex problems, and a student project that asks you to apply what they are learning about Computational Thinking in a real-world situation. 
The second course, the third course, and the last course are talking about business analytics, including data analytic language (R), several tools for processing business data to obtain actionable insight, and explores business analytic applications in accounting."
企業併購財務會計,"平時測驗 Quizzes	80
作業 Assignments	10
出席 Participation	10",會計系Accountancy,使用網路教學 Using Online Teaching	100,"1	Valuation and Pricing (Overview of M&A Topics and Evidence)
2	Valuation and Pricing (Company Valuation)
3	Valuation and Pricing (The Role of Target and Acquirer Valuation in M&A)
4	Valuation and Pricing (Synergies and Hostile Takeovers)
5	Designing an M&A Deal (Designing an M&A Deal: Accounting, Taxation, and Means of Payment)
6	Designing an M&A Deal (Designing an M&A Deal: Accounting, Taxation, and Means of Payment)
7	Designing an M&A Deal (Financing M&A Deals)
8	Designing an M&A Deal (Financing M&A Deals)
9	Designing an M&A Deal (Private Equity and Leveraged Buyouts)
10	Designing an M&A Deal (Corporate Restructuring: Divestiture and Spinoffs)
11	Foundations: Introduction to Inter-Corporate Investments
12	Foundations: Control Type of Investments
13	Foundations: Special Considerations in Inter-Corporate Investment
14	Foundations: Special Types of Acquisitions
15	Advanced Topics: Special Types of Divestitures
16	Advanced Topics: Corporate Reorganizations
17	Advanced Topics: Tax Considerations in Inter-Corporate Investments
18	Advanced Topics: Financial Statement Analysis (FSA) with Inter-Corporate Investments","       企業併購財務會計為University of Illinois Urbana-Champaign Master of Business Administration (iMBA)併購專業六門課程下之四門Coursera課程，第一門M&A財務之評價與定價 (17小時)，第二門是M&A財務之理論與實務 (20小時)，第三門是M&A會計之基礎理論(9小時)，第四門是M&A會計之進階議題(8小時)。總授課時數為54小時。

後疫情的時代，全球各地的公司仍不斷在尋求擴展他們事業版圖，併購將提供給公司許多達成此目標的方法。本課程著重在併購交易之財務及會計理論，使學生了解到一門成功併購交易所需要的概念和知識。
這堂課的課程將會關注併購交易的類型、組織結構，涵蓋以下主題：
1. 如何對併購案進行評價和定價
2. 了解併購之財務模型和資本結構
3. 透過財務會計的視角了解複雜的組織結構
4. 了解財報和比例分析的基本要素

具體而言，本課程在M&A財務面介紹如何對M&A交易定價以及選擇最適交易之財務組合，課程內容介紹策略性併購、融資收購、財務重整交易等幾類主要之M&A交易。此外，在M&A會計面則著重於解讀與內部公司投資相關之財務會計資訊，並包括三大重要議題:(1)被動具重大影響力及控制力之內部公司投資會計；(2) 內部公司投資之特殊議題及考量；(3) 特殊內部公司投資型態。最後，本課程亦探討與財務會計資訊相關之進階內部公司投資議題之解讀，包括: (1) 資產分割與權益分割之會計處理；(2) 融資收購及資本結構調整之會計處理；(3) 內部公司投資之稅務考量；(4) 有內部公司投資時之財務報表分析。In a post-pandemic world, companies across the globe are constantly looking to expand and grow their businesses. Mergers and Acquisitions (M&A) offers many ways to achieve this goal. Through finance specialization in Mergers and Acquisitions, students will gain a well-rounded knowledge of key concepts that form the foundations of a successful M&A deal.     
The courses in this specialization focus on types of M&A deals and complex organizational structures. Topics covered include:
1.	How to value and price M&A deals
2.	Understand financial modeling and capital structure
3.	Understand complex organizational structures through the lens of financial accounting 
4.	Understand the foundational elements of financial statement and ratio analysis

This course teaches how to value and price M&A deals and to choose the optimal financing mix for an M&A deal. The course focuses on all the major types of M&A deals including strategic M&A, private equity leveraged buyouts (LBOs), and restructuring deals such as spinoffs and asset transfers. This course aims at assisting you in interpreting financial accounting information related to inter-corporate investments. The course will cover three main topics over four modules: (i) accounting for passive, significant influence, and control type of inter-corporate investments, (ii) special issues and considerations in inter-corporate investments, and (iii) special types of inter-corporate investments. Finally, this course aims at assisting students in interpreting financial accounting information related to advanced issues in inter-corporate investments. The course will cover four main topics over four modules: (i) accounting for spinoffs and equity carveouts, (ii) accounting for leveraged buyouts and recapitalizations, (iii) tax considerations in inter-corporate investments, and (iv) financial statement analysis in the presence of inter-corporate investments."
中級會計學（三）,"出席 Participation	3
期中考 Midterm Exam	30
期末考 Term exam	30
平時測驗 Quizzes	37",會計系Accountancy,講授 Lecture	100,"1	Ch17 Investments
2	Ch17 Investments
3	Ch17 Investments
4	Ch18 Revenue
5	Ch18 Revenue
6	Ch19 Accounting for Income Taxes
7	Ch19 Accounting for Income Taxes
8	Ch19 Accounting for Income Taxes
9	Ch20 Accounting for Pensions and Postretirement Benefits
10	Ch20 Accounting for Pensions and Postretirement Benefits
11	Ch20 Accounting for Pensions and Postretirement Benefits
12	Ch21 Accounting for Leases
13	Ch21 Accounting for Leases
14	Ch22 Accounting Changes and Error Analysis
15	Ch22 Accounting Changes and Error Analysis
16	Ch23 Statement of Cash Flows
17	Ch23 Statement of Cash Flows
18	Ch24 Presentation and Disclosure in Financial Reporting",       深入介紹會計準則與處理方法深入介紹會計準則與處理方法
高級會計學（一）,"平時測驗 Quizzes	30
期中考 Midterm Exam	30
期末考 Term exam	30
小組報告 Group Projects	10",會計系Accountancy,"講授 Lecture	70
實作 Workshop	30","1	母公司之會計處理
2	母公司之會計處理及合併財務報表簡介
3	合併財務報表簡介及財務報表合併之技巧與程序
4	財務報表合併之技巧與程序及企業合併之會計處理
5	企業合併之會計處理及企業合併特殊議題
6	企業合併特殊議題
7	企業合併特殊議題、集團內個體間交易—存貨
8	集團內個體間交易—存貨
9	期中考
10	集團內個體間交易—不動產、廠房及設備
11	集團內個體間交易—不動產、廠房及設備
12	集團內個體間交易—債券
13	集團內個體間交易—債券
14	股權比例變動之合併程序
15	股權比例變動之合併程序
16	間接持股與相互持股
17	間接持股與相互持股
18	期末考",       企業併購之會計處理、合併報表之編製、權益法。企業併購之會計處理、合併報表之編製、權益法。
公司法及商業會計法,"期中考 Midterm Exam	35
期末考 Term exam	35
個人書面報告 Projects	15
其他 others:問題討論、出席	15",會計系Accountancy,"講授 Lecture	70
討論 Discussion	30","1	上課進度、考試方式、成績評量及公司法內容簡介
2	第一章  總則－公司分類、名稱、能力及負責人
3	第一章  總則－公司清算、解散及清算
4	第二章  無限公司
5	第三章  有限公司
第四章  兩合公司
6	第五章  股份有限公司－概念及設立
7	第五章  公司股東會(一)
8	第五章  公司股東會(二)
9	期中考
10	第五章  公司董事會(一)
11	第五章  公司董事會(二)、監察人
12	第五章  公司之會計、公司債、發行新股、變更章程
13	第五章  公司之重整、企業併購、解散及清算
14	第五章  閉鎖性公司
15	第七章  關係企業
第八章  外國公司
16	商業會計法(一)
17	商業會計法(二)
18	期末考",       公司法法條之講解與案例結合介紹公司法法條之講解與案例結合介紹
固定收益型證券,"期中考 Midterm Exam	45
期末考 Term exam	45
出席 Participation	10",會計系Accountancy,"講授 Lecture	95
影音欣賞 Video/music appreciation	5","1	第一章 固定收益證券市場
2	第二章 貨幣政策與貨幣市場工具
3	第三章 債券交易
4	第四章 債券的定價
5	第五章 債券殖利率與利率的期限結構
6	第六章 債券價格的利率風險
7	第七章 公司債與信用風險分析
8	第八章 國際債券市場與主權債
9	期中考
10	第九章 美國公債與聯邦機構債券
11	第十章 美國不動產抵押擔保債券與資產抵押擔保債券
12	第十一章 利率期貨與選擇權
13	第十二章 可轉換公司債
14	第十三章 利率衍生性金融商品
15	第十四章 信用衍生性金融商品
16	第十五章 債券風險管理與殖利率曲線的建構
17	第十六章 景氣循環、公債殖利率曲線和公司債利差的關係
18	期末考","       各種固定收益型證券之應用“Fixed-income securities” is a term for broader definition of bonds. Fixed-income securities include all types of financial assets such as bonds, convertible bonds, mortgage-backed securities, collateralized debt obligations, floaters, and the derivatives whose payoffs depend on these securities. Modern financial managers and investors are getting more subject to the risks associated with fixed-income securities: interest rate risk, credit risk, liquidity risk, etc, in the dynamic integrated global financial markets. Knowledge of traditional investment tools such as time deposits, stocks, and mutual funds is not enough in such an environment."
會計與金融數據分析,"出席 Participation	10
作業 Assignments	20
期中考 Midterm Exam	30
小組報告 Group Projects	40",會計系Accountancy,"講授 Lecture	30
實作 Workshop	40
討論 Discussion	20
報告 Presentation	10","1	課程介紹
2	Excel 基本功能簡介與認識資料
3	Excel 基本功能簡介與認識資料
4	關聯式資料庫之概念
5	關聯式資料庫之概念
6	資料視覺化軟體之簡介與實作
7	資料視覺化軟體之簡介與實作
8	期中考
9	基本統計觀念之建立與應用
10	基本統計觀念之建立與應用
11	數據分析軟體之簡介與實作
12	數據分析軟體之簡介與實作
13	預測模型建立與數據分析
14	預測模型建立與數據分析
15	流程自動化軟體之簡介與實作
16	統計數據分析、結果解讀與報告撰寫之簡介與實作
17	統計數據分析、結果解讀與報告撰寫之簡介與實作
18	期末報告","       介紹透過軟體進行會計與金融數據之收集、結構、分析、視覺化與報導Introduction of utilization of software for data collection, structure, analysis, visualization, and reporting."
基本財務學,"平時測驗 Quizzes	30
期中考 Midterm Exam	35
期末考 Term exam	35",會計系Accountancy,講授 Lecture	100,"1	Syllabus
2	Ch. 5 Introduction to the Time Value of Money
3	Ch. 6 Discounted Cash Flow (DCF) Valuation
4	Ch. 6 More DCF Valuation (continued)
5	Ch. 7 Interest Rates and Bond Valuation
6	Spring Break
7	Ch. 7 More Bond Valuation (continued)
8	Ch. 8 Stock Valuation Ch. 9 Investment Criteria
9	Ch. 10 Making Capital Investment Decisions
10	Ch. 11 Sensitivity Analysis
11	Quiz 1 (Tentative)
12	Midterm Examination (Tentative)
13	Midterm Examination (Tentative)
14	Ch. 13 Return, Risk, and the SML Ch. 14 Cost of Capital
15	Ch. 15 Raising capital
16	Ch. 16 Capital Structure Policy
17	Ch. 17 Dividends and Dividend Policy Quiz II (Tentative)
18	Final Examination (Tentative)","       介紹金錢時間價,風險與報酬率,資產評價及資本預算之基礎概念介紹金錢時間價,風險與報酬率,資產評價及資本預算之基礎概念"
審計學（二）,"期中考 Midterm Exam	30
期末考 Term exam	30
平時測驗 Quizzes	30
出席 Participation	5
其他 others:課堂表現	5",會計系Accountancy,其他:略 others	100,"1	Introduction & Review
2	Overall Audit Plan and Audit Program (Ch13)
3	Audit of the Sales and Collection Cycle: Tests of Controls and Substantive Tests of Transactions (Ch14)
4	Audit Sampling for Tests of Controls and Substantive Tests of Transactions (Ch15)
5	Completing the Tests in the Sales and Collection Cycle: Accounts Receivable (Ch16)
6	Audit Sampling for Tests of Details of Balances (Ch17)
7	Audit of the Acquisition and Payment Cycle: Tests of Controls, Substantive Tests of Transactions, and Accounts Payable (Ch18)
8	Completing the Tests in the Acquisition and Payment Cycle: Verification of Selected Accounts (Ch19)
9	Mid-term Exam (Ch 13~19)
10	Audit of the Payroll and Personnel Cycle (Ch20)
11	Audit of the Inventory and Warehousing Cycle (Ch21)
12	Audit of the Capital Acquisition and Repayment Cycle (Ch22)
13	Audit of Cash Balances (Ch23)
14	Completing the Audit (Ch24)
15	Other Assurance Services (Ch25)
16	Internal and Governmental Financial Auditing and Operational Auditing (Ch26)
17	Final Exam (Chapter 20~26)
18	Review",       The purpose of this course is to introduce the principles of auditing and other assurance services. The purpose of this course is to introduce the principles of auditing and other assurance services.
所得稅法,"平時測驗 Quizzes	20
期中考 Midterm Exam	30
期末考 Term exam	30
其他 others:作業、課堂表現、出席狀況	20",會計系Accountancy,"講授 Lecture	80
個案研討 Case study	20","1	課程及用書介紹、上課規範、租稅概要及所得稅淺談。
2	租稅基本概念、租稅法之意義及原則。
3	所得稅原理原則之認識：所得稅原理原則、所得稅分類、所得稅制度。綜合所得稅之概念。
4	綜合所得稅之所得類別與認定。
5	綜合所得稅之免稅額、扣除額及稅率。
6	第一次小考、綜合所得稅之扣除額及重購退稅。
7	綜合所得稅之應注意事項、個人之最低稅負制、房地合一稅。
8	個人之最低稅負制、房地合一稅、股利所得課稅新制。
9	期中考
10	營利事業所得稅之概念。
11	營利事業所得稅之收入、成本及費用之認定原則與例外。
12	營利事業所得稅之收入、成本及費用之認定原則與例外。
13	營利事業所得稅之虧損扣抵、稅率計算。
14	兩岸課稅、非常規交易、反自有資本稀釋。
15	未分配盈餘加徵、股利所得課稅新制。
16	第二次小考、所得稅的徵收。
17	所得稅的徵收、租稅減免、營利事業之最低稅負制。
18	期末考",       所得稅法法條講解所得稅法法條講解
公司治理與財務報導—國際會計與稅務專題研,"出席 Participation	30
小組報告 Group Projects	50
其他 others:課堂表現	20",會計系Accountancy,"講授 Lecture	30
討論 Discussion	30
報告 Presentation	40","1	企業升級與轉型之策略與管理(1)
2	公司治理的源起與藍圖
3	會計師的審計世界
4	中秋節
5	營所稅查核實務(營所稅查核準則)
6	IPO實務分享
7	學長姐回娘家/海外交換經驗分享
8	期中個案研究(一)：公司品格的「ESG」
9	期中個案研究(二)：走鋼絲的「獨立董事」
10	強化危機預警之財務報表分析(1)
11	財務報表常見問題
12	公司治理的現在與未來(目的、如何執行、內容)
13	強化危機預警之財務報表分析(2)
14	你不能不懂的公司治理與企業社會責任(CSR)
15	大查帳之巨量資料及分析性程序
16	強化危機預警之財務報表分析(3)
17	期末個案研究(三)：舞弊現形的「審計失敗」
18	期末個案研究(四)：看懂經營本質的「財務分析」","       透過有系統、多層次、結合實務的課程內容，來探討全方位會計人正面臨的機會及挑戰。
課程中分別探討公司治理概念、會計審計實務與最新發展、稅務相關議題及職場必備軟實力等。

 透過有系統、多層次、結合實務的課程內容，來探討全方位會計人正面臨的機會及挑戰。
課程中分別探討公司治理概念、會計審計實務與最新發展、稅務相關議題及職場必備軟實力等。"
